City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
81,Dubbo,AU,-32.25,148.62,66.2,45,24,10.29,few clouds
82,Takaka,NZ,-40.85,172.8,53.01,83,97,5.01,overcast clouds
83,Thompson,CA,55.74,-97.86,15.8,92,75,8.05,light snow
84,Riyadh,SA,24.69,46.72,84.2,20,0,11.41,clear sky
85,Luderitz,NA,-26.65,15.16,69.3,60,5,16.04,clear sky
86,Kahului,US,20.89,-156.47,78.8,74,1,14.99,clear sky
87,Cape Town,ZA,-33.93,18.42,64.4,68,75,17.22,broken clouds
88,Mataura,NZ,-46.19,168.86,48.99,88,32,7.0,scattered clouds
89,Flinders,AU,-34.58,150.86,61.0,70,74,5.37,broken clouds
90,Avarua,CK,-21.21,-159.78,68.0,94,4,7.27,clear sky
91,Goderich,CA,43.75,-81.72,55.4,62,0,9.17,clear sky
92,Kalmunai,LK,7.42,81.82,86.04,65,100,10.92,overcast clouds
93,Golden Gate,US,26.19,-81.7,73.4,94,20,10.29,few clouds
94,Pareora,NZ,-44.49,171.21,50.0,71,47,3.87,scattered clouds
95,Mogadouro,PT,41.34,-6.71,55.0,85,53,8.99,light rain
96,Angoche,MZ,-16.23,39.91,87.15,57,100,15.57,overcast clouds
97,Leningradskiy,RU,69.38,178.42,17.6,96,100,6.62,overcast clouds
98,Nantucket,US,41.28,-70.1,53.6,93,1,5.82,mist
99,Lebu,CL,-37.62,-73.65,50.99,81,100,16.42,overcast clouds
100,Port Blair,IN,11.67,92.75,83.35,75,0,8.75,clear sky
101,Odweyne,SO,9.41,45.06,83.3,18,94,4.76,overcast clouds
102,Victoria,HK,22.29,114.16,80.01,59,46,1.99,scattered clouds
103,Ahipara,NZ,-35.17,173.17,54.41,82,1,7.67,clear sky
104,Vanavara,RU,60.34,102.28,32.05,99,100,4.81,overcast clouds
105,Hermanus,ZA,-34.42,19.23,60.01,83,73,3.0,broken clouds
106,Fortuna,US,40.6,-124.16,46.0,100,75,10.29,broken clouds
107,Biltine,TD,14.53,20.92,89.19,17,0,1.1,clear sky
108,Khatanga,RU,71.97,102.5,1.06,89,51,14.03,broken clouds
109,Torbay,CA,47.67,-52.73,33.01,81,90,11.41,overcast clouds
110,Acapulco,MX,16.86,-99.89,76.87,80,59,2.51,broken clouds
111,Sao Felix Do Xingu,BR,-6.64,-51.99,73.31,93,21,1.72,few clouds
112,Praia Da Vitoria,PT,38.73,-27.07,55.4,93,75,9.75,light intensity shower rain
113,Sisimiut,GL,66.94,-53.67,12.92,84,5,11.79,clear sky
114,Broome,US,42.25,-75.83,51.8,62,1,3.36,clear sky
115,Ilulissat,GL,69.22,-51.1,3.2,65,31,3.36,scattered clouds
116,Olinda,BR,-8.01,-34.86,80.6,74,40,10.29,scattered clouds
117,Vestmannaeyjar,IS,63.44,-20.27,43.2,64,59,5.03,broken clouds
118,Deputatskiy,RU,69.3,139.9,-9.58,92,99,3.6,overcast clouds
119,Tamiahua,MX,21.27,-97.45,69.37,88,98,4.5,overcast clouds
120,Portland,US,45.52,-122.68,41.0,75,40,13.87,scattered clouds
121,Nikolskoye,RU,59.7,30.79,42.93,65,0,11.18,clear sky
122,Stabat,ID,3.76,98.45,83.28,77,92,3.89,light rain
123,Coihaique,CL,-45.58,-72.07,41.0,86,0,4.7,clear sky
124,Mehamn,NO,71.04,27.85,37.08,83,99,30.94,overcast clouds
125,Meiganga,CM,6.52,14.3,83.91,34,58,6.44,broken clouds
126,Dunedin,NZ,-45.87,170.5,50.0,72,0,4.38,clear sky
127,Capitan Bado,PY,-23.27,-55.53,71.53,57,0,8.21,clear sky
128,Santa Marta,CO,11.24,-74.2,79.0,85,41,1.99,light rain
129,Cayenne,GF,4.93,-52.33,71.6,100,90,2.24,overcast clouds
130,Manoel Urbano,BR,-8.84,-69.26,71.47,95,67,1.03,heavy intensity rain
131,Kabanjahe,ID,3.1,98.49,68.7,96,100,2.3,light rain
132,Beringovskiy,RU,63.05,179.32,23.14,95,99,16.53,overcast clouds
133,Mapiripan,CO,2.89,-72.13,73.2,92,99,1.81,overcast clouds
134,Berlevag,NO,70.86,29.09,38.23,84,98,31.88,overcast clouds
135,Bay-Khaak,RU,51.17,94.5,31.87,92,0,1.1,clear sky
136,Gonda,IN,27.13,81.93,84.11,24,0,1.7,clear sky
137,Brigantine,US,39.41,-74.36,53.01,87,1,7.18,clear sky
138,Asfi,MA,32.3,-9.24,67.24,66,0,2.86,clear sky
139,Chuy,UY,-33.7,-53.46,62.74,85,0,6.22,clear sky
140,Lufilufi,WS,-13.87,-171.6,77.0,94,75,3.36,broken clouds
141,Tiksi,RU,71.69,128.87,-6.63,92,71,2.3,broken clouds
142,Kieta,PG,-6.22,155.63,80.53,77,77,3.18,light rain
143,Merritt Island,US,28.54,-80.67,75.2,88,40,9.17,scattered clouds
144,Coruripe,BR,-10.13,-36.18,79.18,71,29,13.0,scattered clouds
145,Kruisfontein,ZA,-34.0,24.73,72.0,67,1,11.01,clear sky
146,Norman Wells,CA,65.28,-126.83,19.4,85,20,4.7,few clouds
147,Kribi,CM,2.95,9.92,79.7,80,98,8.14,overcast clouds
148,Mount Isa,AU,-20.73,139.5,95.0,8,22,9.17,few clouds
149,Ereymentau,KZ,51.62,73.1,44.53,60,100,26.42,overcast clouds
150,Kloulklubed,PW,7.04,134.26,80.62,83,100,20.92,heavy intensity rain
151,Aklavik,CA,68.22,-135.01,28.4,86,62,3.36,broken clouds
152,Bedesa,ET,8.9,40.78,72.95,55,85,4.99,light rain
153,Prince Rupert,CA,54.32,-130.32,37.4,92,1,2.24,clear sky
154,Castro,BR,-24.79,-50.01,60.69,70,23,3.02,few clouds
155,Tete,MZ,-16.16,33.59,107.6,18,0,8.05,clear sky
156,Yuzawa,JP,39.17,140.5,51.8,81,75,24.16,light intensity shower rain
157,Laguna,US,38.42,-121.42,48.2,76,90,5.82,overcast clouds
158,Alekseyevsk,RU,57.84,108.35,25.43,97,100,5.41,light snow
159,Kaitangata,NZ,-46.28,169.85,50.0,68,2,4.0,clear sky
160,Njombe,TZ,-9.33,34.77,78.94,37,21,10.29,few clouds
161,Port Lincoln,AU,-34.73,135.87,66.0,48,98,11.01,overcast clouds
162,Bredasdorp,ZA,-34.53,20.04,62.6,77,83,13.87,light rain
163,Naze,JP,28.37,129.48,71.6,64,75,14.99,broken clouds
164,Bethel,US,41.37,-73.41,46.99,100,1,3.18,clear sky
165,Chowchilla,US,37.12,-120.26,48.2,87,90,8.05,overcast clouds
166,Umm Kaddadah,SD,13.6,26.69,83.91,19,0,11.79,clear sky
167,East London,ZA,-33.02,27.91,75.2,60,20,12.75,few clouds
168,Ostrovnoy,RU,68.05,39.51,37.85,91,100,25.84,light rain
169,Bar-Le-Duc,FR,48.75,5.17,57.2,76,0,4.7,clear sky
170,Grand Gaube,MU,-20.01,57.66,80.01,65,2,15.01,clear sky
171,Ancud,CL,-41.87,-73.82,52.0,76,0,10.29,clear sky
172,Ambon,ID,-3.7,128.18,84.99,11,89,8.39,overcast clouds
173,Gat,IL,31.61,34.76,75.99,55,0,3.65,clear sky
174,San Carlos De Bariloche,AR,-41.15,-71.31,48.2,57,40,3.36,scattered clouds
175,Rio Gallegos,AR,-51.62,-69.22,53.6,58,0,14.99,clear sky
176,Karratha,AU,-20.74,116.85,79.92,49,0,17.67,clear sky
177,Charagua,BO,-19.8,-63.22,68.45,35,57,3.06,broken clouds
178,Saint George,US,37.1,-113.58,43.0,68,40,11.41,scattered clouds
179,Imbituba,BR,-28.24,-48.67,68.0,94,75,4.7,broken clouds
180,Asau,RO,46.43,26.4,62.01,59,2,2.89,clear sky
181,Baglung,NP,28.27,83.59,70.25,43,56,3.29,broken clouds
182,Mayo,US,38.89,-76.51,54.0,100,1,3.22,mist
183,Presidencia Roque Saenz Pena,AR,-26.79,-60.44,66.07,89,100,6.17,light rain
184,Rawson,AR,-43.3,-65.1,61.12,57,0,16.11,clear sky
185,Hobyo,SO,5.35,48.53,85.23,60,70,16.28,broken clouds
186,Zhigansk,RU,66.77,123.37,-17.45,89,18,1.3,few clouds
187,Simbach,DE,48.57,12.75,53.01,92,0,1.81,clear sky
188,Airai,TL,-8.93,125.41,65.8,88,90,1.68,light rain
189,Cururupu,BR,-1.83,-44.87,80.35,79,51,8.3,broken clouds
190,Vardo,NO,70.37,31.11,40.73,73,56,32.5,broken clouds
191,Baruun-Urt,MN,46.68,113.28,27.41,79,0,9.69,clear sky
192,Waipawa,NZ,-41.41,175.52,51.8,71,93,31.09,overcast clouds
193,Yangmei,CN,24.1,112.56,63.41,64,0,5.08,clear sky
194,Varkkallai,IN,8.73,76.71,89.6,70,40,3.36,scattered clouds
195,Ponta Delgada,PT,37.73,-25.67,53.6,81,20,4.7,few clouds
196,Souillac,MU,-20.52,57.52,82.4,61,75,17.22,broken clouds
197,Pecos,US,31.42,-103.49,57.2,71,1,9.17,clear sky
198,Zhangye,CN,38.93,100.45,48.67,35,0,2.73,clear sky
199,Taoudenni,ML,22.68,-3.98,89.69,12,9,9.08,clear sky
200,Bajil,YE,15.06,43.29,92.62,35,49,9.71,scattered clouds
201,Ixtapa,MX,20.7,-105.2,75.99,86,1,2.21,clear sky
202,Vila Velha,BR,-20.33,-40.29,73.4,94,20,3.36,few clouds
203,Evensk,RU,61.95,159.23,10.71,88,77,12.21,broken clouds
204,Bandar-E Lengeh,IR,26.56,54.88,84.2,66,12,6.93,haze
205,Matamoros,MX,25.53,-103.25,56.59,61,0,2.95,clear sky
206,Porirua,NZ,-41.13,174.85,50.0,81,88,4.0,overcast clouds
207,Panzhihua,CN,26.59,101.71,71.15,56,23,0.65,few clouds
208,Faya,SA,18.39,42.45,77.0,27,40,17.22,scattered clouds
209,Dikson,RU,73.51,80.55,-0.09,93,100,12.33,overcast clouds
210,Nakamura,JP,32.98,132.93,54.93,61,0,6.4,clear sky
211,Chokurdakh,RU,70.63,147.92,-4.2,93,100,3.4,overcast clouds
212,Bilibino,RU,68.05,166.44,-4.83,89,93,0.85,overcast clouds
213,Brentwood,US,40.78,-73.25,48.2,100,1,3.36,clear sky
214,Nago,JP,26.59,127.98,75.2,73,90,16.11,overcast clouds
215,Aitape,PG,-3.14,142.35,79.92,79,54,2.46,broken clouds
216,Manitouwadge,CA,49.12,-85.84,35.6,93,100,3.36,overcast clouds
217,Gidole,ET,5.65,37.37,68.09,77,43,4.43,moderate rain
218,Provideniya,RU,64.38,-173.3,27.32,94,94,9.93,overcast clouds
219,Lerik,AZ,38.77,48.41,55.4,100,90,6.96,light rain
220,Port Hedland,AU,-20.32,118.57,89.6,35,0,19.46,clear sky
221,Victoria Point,AU,-27.58,153.3,66.99,68,5,7.0,clear sky
222,Amapa,BR,1.0,-52.0,74.77,89,99,3.85,overcast clouds
