City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Mildura,AU,-34.2,142.15,87.01,39,40,8.05,thunderstorm
83,Japura,ID,-0.32,102.35,80.65,84,100,2.66,overcast clouds
84,Osmena,PH,10.52,119.93,83.08,78,100,9.73,light rain
85,North Bend,US,43.41,-124.22,48.99,93,90,10.29,overcast clouds
86,Poum,NC,-20.23,164.02,71.1,86,100,11.5,light rain
87,Nikolskoye,RU,59.7,30.79,24.8,92,75,4.47,fog
88,Kungurtug,RU,50.6,97.52,22.89,91,35,2.62,scattered clouds
89,Aldan,RU,58.6,125.39,28.47,98,100,2.93,overcast clouds
90,Chernyshevskiy,RU,63.01,112.47,25.47,99,100,8.3,light snow
91,Hobart,AU,-42.88,147.33,88.0,32,0,6.93,clear sky
92,Basoko,CD,1.24,23.62,69.51,91,100,2.26,overcast clouds
93,Pinega,RU,64.7,43.39,29.88,98,80,7.52,broken clouds
94,Nemuro,JP,43.32,145.57,32.0,74,40,10.29,shower rain
95,Faanui,PF,-16.48,-151.75,76.03,85,100,10.04,light rain
96,Parauna,BR,-16.95,-50.45,72.05,68,14,2.46,light rain
97,Ahipara,NZ,-35.17,173.17,63.09,64,3,11.43,clear sky
98,Yerbogachen,RU,61.28,108.01,28.13,98,100,6.82,overcast clouds
99,Tura,IN,25.52,90.22,70.16,66,0,3.38,clear sky
100,Kodiak,US,57.79,-152.41,44.6,81,90,12.75,light rain
101,Nanortalik,GL,60.14,-45.24,28.54,87,100,7.43,overcast clouds
102,Khovu-Aksy,RU,51.13,93.6,25.93,82,0,2.95,clear sky
103,Bluff,NZ,-46.6,168.33,59.0,70,18,8.99,few clouds
104,Sarangani,PH,5.4,125.46,83.75,71,100,8.01,overcast clouds
105,Massakory,TD,13.0,15.73,73.72,28,0,10.38,clear sky
106,Puerto Suarez,BO,-18.95,-57.8,76.57,67,42,2.37,scattered clouds
107,Mareeba,AU,-17.0,145.43,86.0,48,75,9.17,broken clouds
108,Lakatoro,VU,-16.1,167.42,82.4,78,75,7.76,broken clouds
109,Sao Joao De Pirabas,BR,-0.77,-47.18,79.27,82,93,5.88,moderate rain
110,Mar Del Plata,AR,-38.0,-57.56,64.0,93,0,6.93,clear sky
111,Norman Wells,CA,65.28,-126.83,-7.6,76,75,4.7,broken clouds
112,Chuy,UY,-33.7,-53.46,60.96,87,83,9.86,broken clouds
113,Puerto Ayora,EC,-0.74,-90.35,69.01,88,87,4.0,overcast clouds
114,Hadejia,NG,12.45,10.04,69.62,31,14,8.21,few clouds
115,Tasiilaq,GL,65.61,-37.64,29.8,95,100,22.1,overcast clouds
116,Chebsara,RU,59.2,38.84,29.12,97,42,8.84,scattered clouds
117,Kaitangata,NZ,-46.28,169.85,57.99,67,42,11.01,scattered clouds
118,Kimberley,ZA,-28.73,24.76,55.4,82,0,9.17,clear sky
119,Astana,KZ,51.18,71.45,37.4,93,90,11.18,light intensity shower rain
120,San Patricio,US,28.02,-97.52,75.2,73,75,5.82,broken clouds
121,Lebu,CL,-37.62,-73.65,51.98,92,0,12.62,clear sky
122,Zyryanka,RU,65.75,150.85,-8.86,90,82,3.96,broken clouds
123,Esperance,AU,-33.87,121.9,57.2,100,75,12.75,broken clouds
124,Batamshinskiy,KZ,50.56,58.27,24.8,85,0,15.66,clear sky
125,Georgetown,MY,5.41,100.34,82.4,88,20,4.7,few clouds
126,Flinders,AU,-34.58,150.86,77.0,68,0,7.0,clear sky
127,Sobolevo,RU,54.43,31.9,31.26,98,0,5.19,clear sky
128,Saskylakh,RU,71.92,114.08,3.09,93,100,9.89,overcast clouds
